,img_id,turn_index,instruction,reverse_instruction,source_global_caption,target_global_caption,target_local_caption
160,336015,1,change the ski gear into a scuba gear,change the scuba gear into ski gear,A man riding skis down a snow covered hillside.,A man scuba diving down a snow covered hillside.,scuba gear
161,336015,2,let the tree be conifers,let the trees be empty trees,A man scuba diving down a snow covered hillside.,A man scuba diving down a snow covered conifer hillside.,scuba diving among conifers
162,336015,3,add a polar bear,remove the polar bear,A man scuba diving down a snow covered conifer hillside.,A man scuba diving with a polar bear down a snow covered conifer hillside.,polar bear and scuba diver
163,337180,1,let the cat wear a bow tie instead of a tie,let the cat wear a tie instead of a bow tie,A black cat in a tie laying on a carpet next to bookshelf.,A black cat in a bow tie laying on a carpet next to bookshelf.,cat in a bow tie
164,337180,2,let the cat have blue eyes,let the cat have yellow eyes,A black cat in a bow tie laying on a carpet next to bookshelf.,A black cat with blue eyes in a bow tie laying on a carpet next to bookshelf.,cat with blue eyes
165,337180,3,let the cat lay on a wooden floor instead of a carpet,let the cat lay on a carpet instead of a wooden floor,A black cat with blue eyes in a bow tie laying on a carpet next to bookshelf.,A black cat with blue eyes in a bow tie laying on a wooden floor next to bookshelf.,black cat with blue eyes in a bow tie laying on a wooden floor next to bookshelf.
166,34,1,Give the zebra a single front leg.,Give the zebra two front legs,A zebra grazing on lush green grass in a field.,A zebra with a single front leg grazing on lush green grass in a field.,zebra with single front leg
167,34,2,Open the zebra's mouth.,Close the zebra's mouth,A zebra with a single front leg grazing on lush green grass in a field.,"A zebra with a single front leg grazing on lush green grass in a field, showing its teeth.",open mouth zebra
168,341070,1,Let the faucet be turned on.,Let the faucet be turned off,A kitchen with a wall mounted oven with a center island.,"A kitchen with a wall mounted oven and a center island, with running water from the faucet.",kitchen with running faucet
169,352426,1,have the sun rise instead of set.,have the sun set instead of rise,"The kite is aloft, like a giant  sea bird flying high in the evening sky.","The kite is aloft, like a giant sea bird flying high in the morning sky.","The kite is aloft, like a giant sea bird flying high in the morning sky."
170,352426,2,make two parasailers instead of one.,make one parasailer instead of two,"The kite is aloft, like a giant sea bird flying high in the morning sky.","Two parasailers soar high in the morning sky, like giant sea birds.",two parasailers in the morning sky
171,352426,3,make the ground a forest instead of a slope.,Make the ground a slope instead of a forest,"Two parasailers soar high in the morning sky, like giant sea birds.","Two parasailers soar high in the morning sky above a lush forest, like giant birds.",Two parasailers soar high in the morning sky above a lush forest.
172,353915,1,Put a policeman in the intersection.,Remove the policeman in the intersection,A black and white picture of an intersection,A black and white picture of a policeman directing traffic at an intersection.,policeman in intersection
173,354126,1,change the stuffed toys into rubber duckies,change the rubber duckies into stuffed toys,Two dogs sleeping on a small dog bed. The bed has many toys on it.,Two dogs sleeping on a small dog bed. The bed has many rubber duckies on it.,Two dogs sleeping on a small dog bed with rubber duckies.
174,357220,1,change the color of the soccer ball to red,change the color of the soccer ball to white,Some soccer players playing a game of soccer together.,Some soccer players playing a game with a red soccer ball together.,soccer players with colored ball
175,357865,1,The lid of a toilet should be open.,The lid of a toilet should be closed.,A bathroom with a toilet and a sink with a cup on it.,A bathroom with an open-lid toilet and a sink with a cup on it.,open toilet lid in bathroom
176,358868,1,make the cat lick its nose,make the cat's mouth closed,Cat sleeping on top of a suitcase that is resting on top of a table.,"Cat sleeping on top of a suitcase that is resting on top of a table, licking its nose.",cat licking its nose
177,365258,1,Add a cup of coffee.,remove the cup of coffee,A sandwich cut in half on a white plate with a side of salad and a fork and knife wrapped in a napkin.,"A sandwich cut in half on a white plate with a side of salad, a cup of coffee, and a fork and knife wrapped in a napkin.","sandwich with salad and utensils, accompanied by a cup of coffee."
178,365258,2,Remove the salad on the side.,add a salad on the side.,"A sandwich cut in half on a white plate with a side of salad, a cup of coffee, and a fork and knife wrapped in a napkin.",A sandwich cut in half on a white plate with a cup of coffee and a fork and knife wrapped in a napkin.,sandwich and coffee with utensils
